episode,reward,length,success,avg_last_50
1,-1316.8000000000015,500,0,-1316.8000000000015
2,-1262.4999999999989,500,0,-1289.65
3,-1425.4999999999957,500,0,-1334.9333333333318
4,-816.6000000000017,439,1,-1205.3499999999995
5,-1004.2000000000064,500,0,-1165.1200000000008
6,-1586.0999999999904,500,0,-1235.2833333333324
7,-1279.5,500,0,-1241.599999999999
8,-70.70000000000061,197,1,-1095.2374999999993
9,-1163.9000000000028,500,0,-1102.8666666666663
10,-1067.6000000000045,500,0,-1099.3400000000001
11,-696.7000000000038,500,0,-1062.736363636364
12,-1179.399999999999,500,0,-1072.4583333333337
13,-1021.5000000000057,500,0,-1068.5384615384623
14,-1200.8999999999974,500,0,-1077.9928571428577
15,-1003.8000000000063,500,0,-1073.0466666666678
16,-587.5000000000041,442,1,-1042.7000000000012
17,-539.4000000000046,450,1,-1013.0941176470602
18,-433.60000000000355,383,1,-980.9000000000015
19,-394.1000000000049,404,1,-950.0157894736859
20,-662.900000000004,500,0,-935.6600000000019
21,-408.4000000000043,425,1,-910.5523809523829
22,99.60000000000036,154,1,-864.6363636363657
23,21.899999999999977,193,1,-826.0913043478279
24,-190.50000000000165,267,1,-799.608333333335
25,-188.600000000002,296,1,-775.1680000000018
26,-211.10000000000178,318,1,-753.4730769230787
27,-62.60000000000099,239,1,-727.885185185187
28,-85.5000000000012,193,1,-704.9428571428589
29,-227.50000000000182,300,1,-688.4793103448294
30,-313.8000000000035,338,1,-675.9900000000018
31,-382.00000000000193,319,1,-666.5064516129052
32,173.10000000000008,94,1,-640.2687500000018
33,-205.00000000000216,337,1,-627.0787878787897
34,129.2000000000002,119,1,-604.8352941176488
35,171.40000000000012,97,1,-582.6571428571445
36,-157.10000000000196,228,1,-570.8361111111128
37,215.20000000000005,56,1,-549.5918918918935
38,24.299999999999898,159,1,-534.4894736842122
39,92.20000000000027,120,1,-518.4205128205143
40,99.80000000000032,146,1,-502.9650000000014
41,-153.900000000001,149,1,-494.45121951219653
42,-151.20000000000118,179,1,-486.27857142857283
43,157.40000000000015,68,1,-471.30930232558273
44,56.700000000000216,120,1,-459.3090909090922
45,172.80000000000013,95,1,-445.2622222222235
46,-460.2000000000021,250,1,-445.5869565217404
