episode,reward,length,success,avg_last_50
1,-102.3000000000012,217,1,-102.3000000000012
2,-1008.9000000000045,500,0,-555.6000000000029
3,-534.7000000000029,345,1,-548.6333333333363
4,-992.1000000000057,500,0,-659.5000000000036
5,-1263.0999999999972,500,0,-780.2200000000023
6,-1190.999999999999,500,0,-848.6833333333352
7,-1048.9000000000033,500,0,-877.2857142857164
8,-1211.7000000000003,500,0,-919.0875000000018
9,-879.600000000005,500,0,-914.7000000000021
10,-843.2000000000046,500,0,-907.5500000000023
11,-737.6000000000051,500,0,-892.1000000000026
12,-809.1000000000058,500,0,-885.1833333333362
13,-844.6000000000056,500,0,-882.0615384615417
14,-819.2000000000054,500,0,-877.571428571432
15,-613.4000000000049,500,0,-859.9600000000034
16,-800.2000000000047,500,0,-856.2250000000034
17,-810.8000000000056,500,0,-853.5529411764741
18,-684.3000000000039,500,0,-844.1500000000036
19,-758.0000000000061,500,0,-839.6157894736879
20,-721.7000000000052,500,0,-833.7200000000037
21,-685.6000000000045,500,0,-826.6666666666705
22,-577.5000000000044,500,0,-815.3409090909129
23,-579.0000000000049,500,0,-805.0652173913081
24,-560.4000000000045,500,0,-794.8708333333374
25,-748.8000000000055,500,0,-793.0280000000041
26,-677.8000000000053,500,0,-788.596153846158
27,-588.7000000000049,500,0,-781.1925925925968
28,-652.500000000005,500,0,-776.5964285714327
29,-560.5000000000045,500,0,-769.144827586211
30,-544.8000000000047,500,0,-761.6666666666708
31,-588.9000000000051,500,0,-756.0935483871009
32,-552.4000000000045,500,0,-749.7281250000042
33,-544.5000000000044,500,0,-743.5090909090951
34,-569.8000000000042,500,0,-738.4000000000042
35,-579.5000000000045,500,0,-733.8600000000041
36,-568.6000000000047,500,0,-729.2694444444486
37,-551.7000000000043,500,0,-724.4702702702745
38,-541.5000000000042,500,0,-719.6552631578988
39,-541.3000000000042,500,0,-715.0820512820554
40,-543.0000000000042,500,0,-710.7800000000042
41,-542.6000000000043,500,0,-706.6780487804921
42,-542.5000000000043,500,0,-702.7690476190519
43,-559.2000000000046,500,0,-699.4302325581438
44,-543.5000000000043,500,0,-695.8863636363678
45,-543.4000000000043,500,0,-692.4977777777821
46,-545.2000000000046,500,0,-689.2956521739172
47,-542.9000000000044,500,0,-686.1808510638341
48,-542.8000000000043,500,0,-683.1937500000043
49,-543.1000000000042,500,0,-680.3346938775553
50,-543.5000000000044,500,0,-677.5980000000044
51,-543.0000000000044,500,0,-686.4120000000045
52,-541.6000000000042,500,0,-677.0660000000045
53,-543.8000000000044,500,0,-677.2480000000044
54,-542.9000000000043,500,0,-668.2640000000043
55,-544.4000000000044,500,0,-653.8900000000045
56,-543.4000000000045,500,0,-640.9380000000046
57,-549.8000000000042,500,0,-630.9560000000046
58,-542.3000000000042,500,0,-617.5680000000046
59,-542.9000000000044,500,0,-610.8340000000047
60,-542.4000000000042,500,0,-604.8180000000046
61,-539.200000000004,500,0,-600.8500000000047
62,-539.9000000000042,500,0,-595.4660000000047
63,-538.5000000000038,500,0,-589.3440000000046
64,-540.0000000000039,500,0,-583.7600000000045
65,-541.1000000000041,500,0,-582.3140000000045
66,-539.000000000004,500,0,-577.0900000000046
67,-538.0000000000038,500,0,-571.6340000000044
68,-537.4000000000035,500,0,-568.6960000000045
69,-536.3000000000038,500,0,-564.2620000000044
70,-537.9000000000038,500,0,-560.5860000000043
71,-534.2000000000036,500,0,-557.5580000000044
72,-535.5000000000036,500,0,-556.7180000000043
73,-534.6000000000035,500,0,-555.8300000000042
74,-534.1000000000035,500,0,-555.3040000000042
75,-534.4000000000035,500,0,-551.0160000000043
76,-536.0000000000036,500,0,-548.1800000000043
77,-533.0000000000034,500,0,-547.0660000000041
78,-533.5000000000034,500,0,-544.6860000000041
79,-531.8000000000031,500,0,-544.1120000000042
80,-531.900000000003,500,0,-543.854000000004
81,-531.900000000003,500,0,-542.714000000004
82,-531.6000000000031,500,0,-542.298000000004
83,-530.7000000000031,500,0,-542.022000000004
84,-531.300000000003,500,0,-541.2520000000039
85,-529.600000000003,500,0,-540.254000000004
86,-528.6000000000028,500,0,-539.4540000000038
87,-527.8000000000027,500,0,-538.9760000000039
88,-528.8000000000028,500,0,-538.7220000000038
89,-528.0000000000027,500,0,-538.4560000000039
90,-528.4000000000028,500,0,-538.1640000000039
91,-527.6000000000028,500,0,-537.8640000000038
92,-527.6000000000028,500,0,-537.5660000000037
93,-527.7000000000025,500,0,-536.9360000000037
94,-527.2000000000028,500,0,-536.6100000000037
95,-526.7000000000028,500,0,-536.2760000000037
96,-527.4000000000028,500,0,-535.9200000000036
97,-526.6000000000028,500,0,-535.5940000000035
98,-525.7000000000025,500,0,-535.2520000000035
99,-525.5000000000024,500,0,-534.9000000000034
100,-526.3000000000027,500,0,-534.5560000000035
101,-525.1000000000025,500,0,-534.1980000000034
102,-526.3000000000026,500,0,-533.8920000000033
103,-542.1000000000023,500,0,-533.8580000000034
104,-524.7000000000024,500,0,-533.4940000000033
105,-524.1000000000022,500,0,-533.0880000000033
106,-524.1000000000023,500,0,-532.7020000000032
107,-523.6000000000023,500,0,-532.1780000000031
108,-523.8000000000021,500,0,-531.8080000000031
109,-523.5000000000023,500,0,-531.4200000000031
110,-541.0000000000023,500,0,-531.392000000003
111,-524.4000000000023,500,0,-531.096000000003
112,-532.9000000000025,500,0,-530.9560000000029
113,-523.7000000000023,500,0,-530.6600000000028
114,-524.1000000000023,500,0,-530.3420000000028
115,-532.9000000000024,500,0,-530.1780000000028
116,-524.3000000000023,500,0,-529.8840000000029
117,-523.9000000000024,500,0,-529.6020000000028
118,-524.2000000000023,500,0,-529.3380000000027
119,-540.4000000000021,500,0,-529.4200000000027
120,-524.5000000000023,500,0,-529.1520000000028
121,-522.8000000000022,500,0,-528.9240000000028
122,-523.7000000000023,500,0,-528.6880000000027
123,-523.7000000000023,500,0,-528.4700000000025
124,-522.6000000000022,500,0,-528.2400000000026
125,-541.3000000000022,500,0,-528.3780000000025
126,-523.2000000000023,500,0,-528.1220000000026
127,-523.0000000000023,500,0,-527.9220000000025
128,-522.2000000000021,500,0,-527.6960000000025
129,-522.7000000000022,500,0,-527.5140000000024
130,-549.6000000000024,500,0,-527.8680000000026
131,-532.6000000000025,500,0,-527.8820000000024
132,-524.0000000000022,500,0,-527.7300000000025
133,-524.2000000000023,500,0,-527.6000000000025
134,-523.4000000000023,500,0,-527.4420000000024
135,-533.5000000000024,500,0,-527.5200000000024
136,-525.2000000000023,500,0,-527.4520000000024
137,-523.8000000000023,500,0,-527.3720000000023
138,-523.3000000000022,500,0,-527.2620000000024
139,-523.9000000000024,500,0,-527.1800000000023
140,-524.7000000000022,500,0,-527.1060000000023
141,-523.7000000000022,500,0,-527.0280000000023
142,-523.7000000000022,500,0,-526.9500000000023
143,-523.4000000000023,500,0,-526.8640000000023
144,-531.8000000000022,500,0,-526.9560000000023
145,-525.0000000000023,500,0,-526.9220000000024
146,-523.6000000000023,500,0,-526.8460000000024
147,-532.6000000000021,500,0,-526.9660000000023
148,-531.9000000000025,500,0,-527.0900000000023
149,-533.0000000000022,500,0,-527.2400000000023
150,-525.2000000000024,500,0,-527.2180000000022
151,-525.1000000000023,500,0,-527.2180000000022
152,-532.9000000000024,500,0,-527.3500000000023
153,-525.2000000000022,500,0,-527.0120000000022
154,-525.0000000000024,500,0,-527.0180000000022
155,-524.6000000000025,500,0,-527.0280000000023
156,-524.5000000000023,500,0,-527.0360000000023
157,-524.7000000000023,500,0,-527.0580000000023
158,-525.3000000000023,500,0,-527.0880000000022
159,-524.6000000000024,500,0,-527.1100000000023
160,-541.4000000000023,500,0,-527.1180000000023
161,-523.4000000000023,500,0,-527.0980000000022
162,-533.2000000000022,500,0,-527.1040000000023
163,-526.7000000000024,500,0,-527.1640000000023
164,-526.2000000000028,500,0,-527.2060000000023
165,-526.9000000000025,500,0,-527.0860000000023
166,-525.9000000000026,500,0,-527.1180000000023
167,-526.8000000000026,500,0,-527.1760000000022
168,-526.4000000000027,500,0,-527.2200000000023
169,-525.3000000000025,500,0,-526.9180000000024
170,-524.1000000000025,500,0,-526.9100000000024
171,-524.7000000000024,500,0,-526.9480000000023
172,-523.8000000000023,500,0,-526.9500000000024
173,-524.1000000000023,500,0,-526.9580000000024
174,-523.8000000000023,500,0,-526.9820000000024
175,-523.5000000000023,500,0,-526.6260000000024
176,-524.0000000000024,500,0,-526.6420000000024
177,-523.2000000000023,500,0,-526.6460000000023
178,-522.5000000000022,500,0,-526.6520000000024
179,-523.3000000000022,500,0,-526.6640000000024
180,-523.1000000000022,500,0,-526.1340000000023
181,-523.1000000000024,500,0,-525.9440000000023
182,-523.5000000000023,500,0,-525.9340000000025
183,-522.9000000000021,500,0,-525.9080000000024
184,-523.4000000000024,500,0,-525.9080000000023
185,-523.0000000000022,500,0,-525.6980000000024
186,-522.7000000000022,500,0,-525.6480000000024
187,-521.900000000002,500,0,-525.6100000000023
188,-521.8000000000021,500,0,-525.5800000000023
189,-521.500000000002,500,0,-525.5320000000024
190,-521.200000000002,500,0,-525.4620000000023
191,-521.7000000000021,500,0,-525.4220000000022
192,-520.700000000002,500,0,-525.3620000000022
193,-522.1000000000022,500,0,-525.3360000000023
194,-521.7000000000021,500,0,-525.1340000000023
195,-522.000000000002,500,0,-525.0740000000022
196,-522.7000000000021,500,0,-525.0560000000022
197,-530.2000000000022,500,0,-525.0080000000022
198,-521.100000000002,500,0,-524.7920000000022
199,-583.0000000000019,500,0,-525.7920000000023
200,-538.9000000000021,500,0,-526.0660000000022
201,-540.1000000000023,500,0,-526.3660000000023
202,-523.6000000000022,500,0,-526.1800000000022
203,-525.0000000000022,500,0,-526.1760000000022
204,-523.9000000000021,500,0,-526.1540000000022
205,-530.8000000000021,500,0,-526.2780000000022
206,-521.8000000000021,500,0,-526.2240000000023
207,-521.000000000002,500,0,-526.1500000000023
