episode,reward,length,success,avg_last_50
1,76.20000000000027,118,1,76.20000000000027
2,-2112.7999999999715,1000,0,-1018.2999999999856
3,-162.20000000000243,356,1,-732.9333333333246
4,-630.900000000006,575,1,-707.424999999995
5,-395.50000000000273,256,1,-645.0399999999966
6,-893.7999999999986,594,1,-686.4999999999968
7,118.50000000000009,104,1,-571.4999999999973
8,-783.6000000000056,699,1,-598.0124999999983
9,-434.60000000000457,467,1,-579.8555555555546
10,106.60000000000034,139,1,-511.2099999999991
11,-399.10000000000434,491,1,-501.0181818181814
12,227.2,69,1,-440.333333333333
13,-1587.5999999999815,1000,0,-528.5846153846136
14,-1169.699999999989,869,1,-574.378571428569
15,73.3000000000003,145,1,-531.1999999999977
16,-566.1000000000055,397,1,-533.3812499999981
17,-176.20000000000198,351,1,-512.3705882352924
18,-366.80000000000337,370,1,-504.28333333333194
19,-51.30000000000018,211,1,-480.44210526315663
20,111.00000000000048,176,1,-450.8699999999988
21,205.00000000000009,73,1,-419.6380952380941
22,167.80000000000015,99,1,-392.93636363636256
23,2.900000000000091,111,1,-375.72608695652076
24,-135.10000000000196,321,1,-365.6999999999991
25,92.20000000000036,161,1,-347.38399999999905
26,-1848.1999999999812,1000,0,-405.1076923076907
27,-95.50000000000188,251,1,-393.6407407407392
28,57.200000000000415,151,1,-377.53928571428423
29,40.70000000000027,117,1,-363.1172413793089
30,139.00000000000017,117,1,-346.3799999999986
31,34.40000000000049,214,1,-334.09677419354705
32,114.30000000000018,107,1,-320.08437499999866
33,-2329.9999999999773,1000,0,-380.9909090909071
34,210.50000000000006,76,1,-363.5941176470569
35,261.0,38,1,-345.74857142856956
36,-2854.499999999974,1000,0,-415.43611111110863
37,-2356.499999999975,1000,0,-467.8972972972942
38,-2707.2999999999643,1000,0,-526.8289473684171
39,-2177.6999999999757,1000,0,-569.1589743589698
40,-20.500000000000455,272,1,-555.4424999999956
41,-294.8000000000018,262,1,-549.0853658536543
42,-141.70000000000164,294,1,-539.3857142857102
43,68.8000000000003,108,1,-525.2418604651123
44,-105.50000000000136,169,1,-515.7022727272688
45,-91.20000000000039,156,1,-506.26888888888504
46,-1933.5999999999813,642,1,-537.2978260869523
47,114.30000000000018,99,1,-523.4340425531874
48,116.20000000000022,114,1,-510.1083333333293
49,17.599999999999966,173,1,-499.3387755102002
50,253.59999999999997,45,1,-484.2799999999962
51,147.40000000000012,85,1,-482.8559999999962
52,-2875.6999999999616,1000,0,-498.11399999999594
53,135.4000000000001,80,1,-492.1619999999959
54,-65.50000000000074,274,1,-480.8539999999958
55,221.20000000000005,58,1,-468.5199999999957
56,215.70000000000002,47,1,-446.3299999999958
57,-67.40000000000038,102,1,-450.0479999999959
58,-102.10000000000105,225,1,-436.41799999999574
59,-334.70000000000095,167,1,-434.41999999999564
60,111.70000000000007,93,1,-434.31799999999566
61,-62.100000000000136,138,1,-427.5779999999956
62,180.40000000000003,79,1,-428.5139999999956
63,131.30000000000004,75,1,-394.135999999996
64,-4379.499999999997,980,1,-458.3319999999962
65,264.2,27,1,-454.51399999999614
66,176.2000000000001,75,1,-439.6679999999961
67,94.80000000000024,133,1,-434.247999999996
68,154.80000000000004,78,1,-423.815999999996
69,-2559.7999999999633,1000,0,-473.9859999999953
