episode,reward,length,success,avg_last_50
1,-647.0000000000033,431,1,-647.0000000000033
2,-1255.199999999998,500,0,-951.1000000000006
3,-1108.499999999999,500,0,-1003.5666666666667
4,-328.5000000000025,311,1,-834.8000000000006
5,-1234.899999999997,500,0,-914.8199999999999
6,-1360.999999999996,500,0,-989.1833333333325
7,-440.90000000000373,408,1,-910.8571428571425
8,-1632.0999999999945,500,0,-1001.0124999999991
9,-1451.6999999999962,500,0,-1051.0888888888876
10,-1129.8000000000031,500,0,-1058.9599999999991
11,-1507.1999999999944,500,0,-1099.7090909090896
12,-1272.2999999999952,500,0,-1114.091666666665
13,-373.90000000000384,378,1,-1057.1538461538448
14,-1533.8999999999915,500,0,-1091.2071428571412
15,-1252.6999999999994,500,0,-1101.9733333333318
16,-935.2999999999977,400,1,-1091.5562499999983
17,-1163.6000000000013,500,0,-1095.7941176470574
18,-885.3000000000046,500,0,-1084.0999999999988
19,-455.50000000000273,321,1,-1051.0157894736833
20,-438.80000000000257,288,1,-1020.4049999999992
21,199.90000000000003,45,1,-962.2952380952372
22,-788.6000000000006,364,1,-954.3999999999993
23,-1632.6999999999907,500,0,-983.891304347825
24,-664.7000000000032,356,1,-970.5916666666658
25,-1614.4999999999927,500,0,-996.3479999999988
26,-355.3000000000022,295,1,-971.6923076923067
27,-73.80000000000018,182,1,-938.437037037036
28,-507.1000000000033,368,1,-923.032142857142
29,167.80000000000015,108,1,-885.4172413793095
30,-712.5000000000038,384,1,-879.6533333333326
31,121.30000000000018,117,1,-847.3645161290317
32,-127.40000000000157,216,1,-824.8656249999996
33,-219.80000000000155,277,1,-806.5303030303027
34,-20.500000000000625,174,1,-783.411764705882
35,-149.9000000000011,228,1,-765.3114285714283
36,-1265.0999999999992,500,0,-779.1944444444441
37,-110.7000000000013,259,1,-761.1270270270268
38,-714.2000000000041,410,1,-759.8921052631578
39,-375.3000000000022,329,1,-750.0307692307691
40,-18.900000000000148,132,1,-731.7524999999998
41,-41.800000000000864,195,1,-714.9243902439023
42,33.000000000000284,158,1,-697.1166666666666
43,201.20000000000007,85,1,-676.2255813953487
44,-176.20000000000113,235,1,-664.8613636363635
45,198.70000000000005,71,1,-645.6711111111109
46,-96.900000000001,278,1,-633.741304347826
47,-1371.199999999998,500,0,-649.4319148936169
48,145.50000000000014,87,1,-632.8708333333332
49,-657.7000000000029,342,1,-633.3775510204081
50,-1111.900000000003,500,0,-642.948
51,-1067.600000000004,500,0,-651.36
52,-1130.8000000000013,500,0,-648.8720000000001
53,62.700000000000415,155,1,-625.4480000000001
54,-330.8000000000028,337,1,-625.4940000000001
55,-792.0000000000009,493,1,-616.6360000000002
56,-98.50000000000085,222,1,-591.3860000000002
57,-373.0000000000026,361,1,-590.0280000000002
58,-933.200000000005,500,0,-576.0500000000005
59,94.40000000000032,134,1,-545.1280000000005
60,-832.8000000000062,500,0,-539.1880000000006
61,-788.2000000000054,500,0,-524.8080000000008
62,-859.8000000000051,500,0,-516.558000000001
63,-1084.9000000000008,500,0,-530.778000000001
64,-664.000000000005,500,0,-513.3800000000012
65,-816.8000000000052,500,0,-504.66200000000134
66,-438.00000000000307,454,1,-494.7160000000015
67,-168.50000000000114,295,1,-474.81400000000144
68,-598.2000000000048,425,1,-469.0720000000014
69,-880.0000000000051,500,0,-477.5620000000015
70,-1386.6999999999914,500,0,-496.52000000000123
71,178.1000000000002,107,1,-496.95600000000127
72,-12.300000000000239,217,1,-481.43000000000137
73,257.79999999999995,41,1,-443.6200000000015
74,-1283.3999999999974,500,0,-455.9940000000014
75,-1014.4000000000045,500,0,-443.99200000000155
76,-1012.5000000000063,500,0,-457.13600000000173
77,-1442.2999999999931,500,0,-484.5060000000015
78,-1935.3999999999903,500,0,-513.0720000000013
79,-167.80000000000086,303,1,-519.7840000000012
80,196.30000000000007,82,1,-501.6080000000012
81,-1034.2999999999975,497,1,-524.7200000000012
82,-1186.5000000000018,500,0,-545.9020000000012
83,-1267.5999999999997,500,0,-566.8580000000011
84,-1213.299999999997,500,0,-590.714000000001
85,-1392.3999999999987,500,0,-615.564000000001
86,-88.69999999999999,155,1,-592.036000000001
87,-416.6000000000015,218,1,-598.1540000000011
88,-545.1000000000031,352,1,-594.7720000000011
89,184.90000000000006,84,1,-583.5680000000009
90,-94.90000000000043,201,1,-585.088000000001
91,-383.0000000000023,293,1,-591.9120000000011
92,-1196.200000000002,500,0,-616.4960000000011
93,-1408.999999999996,500,0,-648.700000000001
94,-1106.100000000003,500,0,-667.298000000001
95,-147.50000000000108,257,1,-674.222000000001
96,-186.3000000000011,268,1,-676.010000000001
97,-204.30000000000234,286,1,-652.6720000000012
98,-96.10000000000093,243,1,-657.5040000000012
99,-32.10000000000042,168,1,-644.9920000000011
100,19.900000000000205,145,1,-622.356000000001
101,-354.0000000000026,349,1,-608.084000000001
102,120.6000000000003,143,1,-583.056000000001
103,184.40000000000018,109,1,-580.6220000000009
104,177.70000000000016,107,1,-570.4520000000008
105,-101.70000000000027,224,1,-556.6460000000009
106,59.70000000000039,150,1,-553.4820000000009
107,95.00000000000054,182,1,-544.1220000000008
108,189.7000000000001,88,1,-521.6640000000006
109,130.90000000000023,117,1,-520.9340000000007
110,72.4000000000002,130,1,-502.83000000000044
111,87.20000000000044,174,1,-485.3220000000004
112,74.80000000000035,160,1,-466.63000000000034
113,-201.3000000000016,241,1,-448.95800000000037
114,-131.50000000000114,243,1,-438.3080000000002
115,-1122.300000000001,500,0,-444.4180000000002
116,122.70000000000033,133,1,-433.2040000000002
117,-1150.200000000002,500,0,-452.8380000000002
118,-1121.899999999996,497,1,-463.31199999999995
119,111.10000000000025,127,1,-443.48999999999984
