episode,reward,length,success,avg_last_50
1,-1620.5999999999913,500,0,-1620.5999999999913
2,-577.0000000000035,362,1,-1098.7999999999975
3,-1432.5999999999926,500,0,-1210.0666666666625
4,-1342.5999999999958,500,0,-1243.1999999999957
5,-741.4000000000028,412,1,-1142.8399999999972
6,-993.6000000000053,500,0,-1117.966666666665
7,-1389.0999999999951,500,0,-1156.699999999998
8,-1119.0000000000032,500,0,-1151.9874999999988
9,-175.60000000000105,286,1,-1043.499999999999
10,-709.700000000004,457,1,-1010.1199999999995
11,-454.500000000001,287,1,-959.6090909090907
12,-718.9000000000033,316,1,-939.5500000000001
13,-976.5000000000059,500,0,-942.3923076923081
14,122.80000000000035,116,1,-866.3071428571432
15,-530.7000000000041,391,1,-843.933333333334
16,-1102.200000000002,500,0,-860.0750000000007
17,-633.700000000005,463,1,-846.7588235294127
18,-539.8000000000023,299,1,-829.7055555555567
19,-620.5000000000042,459,1,-818.6947368421064
20,-1245.4999999999982,500,0,-840.035000000001
21,-138.20000000000135,260,1,-806.6142857142867
22,-1407.1999999999985,500,0,-833.9136363636371
23,-994.300000000005,500,0,-840.8869565217401
24,-1127.800000000003,500,0,-852.8416666666677
25,-567.300000000005,467,1,-841.4200000000013
26,-1092.100000000003,500,0,-851.0615384615398
27,-1272.9999999999964,500,0,-866.68888888889
28,-475.10000000000366,424,1,-852.7035714285727
29,33.10000000000002,117,1,-822.1586206896563
30,41.100000000000364,159,1,-793.3833333333346
31,-13.600000000000477,193,1,-768.2290322580658
32,-16.90000000000009,138,1,-744.7500000000011
33,135.40000000000023,113,1,-718.078787878789
34,-939.3000000000058,500,0,-724.5852941176482
35,-1137.299999999997,500,0,-736.3771428571439
36,201.00000000000006,94,1,-710.3388888888899
37,-1038.8000000000045,500,0,-719.2162162162173
38,141.80000000000018,99,1,-696.5578947368432
39,-875.600000000005,500,0,-701.1487179487192
40,228.09999999999997,68,1,-677.9175000000012
41,-76.40000000000066,252,1,-663.2463414634159
42,-1208.000000000003,500,0,-676.216666666668
43,-357.000000000001,228,1,-668.7930232558152
44,182.60000000000014,61,1,-649.443181818183
45,-751.9000000000036,500,0,-651.7200000000013
46,-245.80000000000155,217,1,-642.8956521739144
47,-347.10000000000275,302,1,-636.6021276595759
48,-109.90000000000077,174,1,-625.6291666666679
49,-445.3000000000022,362,1,-621.948979591838
50,-222.10000000000184,262,1,-613.9520000000012
51,-300.7000000000021,335,1,-587.5540000000016
