episode,reward,length,success,avg_last_50
1,-1314.899999999999,500,0,-1314.899999999999
2,265.4,34,1,-524.7499999999995
3,-1394.5999999999985,500,0,-814.6999999999992
4,-1250.3999999999987,500,0,-923.6249999999991
5,-1545.5999999999935,500,0,-1048.019999999998
6,-1796.099999999994,500,0,-1172.6999999999973
7,-990.1000000000051,500,0,-1146.614285714284
8,-634.7000000000031,347,1,-1082.624999999999
9,-1177.7000000000032,500,0,-1093.1888888888884
10,-1313.2999999999988,500,0,-1115.1999999999994
11,-1325.099999999994,500,0,-1134.281818181817
12,-820.100000000005,500,0,-1108.0999999999995
13,-307.5000000000026,309,1,-1046.5153846153842
14,-882.9000000000055,500,0,-1034.8285714285714
15,-256.40000000000316,411,1,-982.9333333333336
16,-695.7000000000053,500,0,-964.9812500000006
17,127.60000000000025,137,1,-900.711764705883
18,-1262.1000000000015,500,0,-920.7888888888896
19,-43.20000000000084,238,1,-874.6000000000007
20,-894.0000000000036,500,0,-875.5700000000008
21,-305.8000000000029,425,1,-848.4380952380961
22,234.79999999999995,62,1,-799.2000000000008
23,-273.80000000000257,353,1,-776.3565217391314
24,141.8000000000003,149,1,-738.1000000000008
25,139.10000000000022,134,1,-703.0120000000009
26,87.2000000000005,191,1,-672.6192307692315
27,182.70000000000007,94,1,-640.9407407407415
28,-153.10000000000207,273,1,-623.5178571428579
29,58.80000000000041,176,1,-599.9896551724146
30,96.7000000000003,148,1,-576.7666666666674
31,177.2,74,1,-552.4451612903233
32,228.09999999999997,68,1,-528.0531250000006
33,212.70000000000005,83,1,-505.60606060606113
34,-1881.3999999999921,500,0,-546.0705882352944
35,-790.8999999999996,468,1,-553.0657142857145
36,-9.400000000000205,238,1,-537.9638888888892
37,-256.90000000000066,203,1,-530.3675675675679
38,-950.7999999999972,381,1,-541.4315789473686
39,168.40000000000023,115,1,-523.2307692307694
40,-59.30000000000007,169,1,-511.6325000000003
41,-80.60000000000053,248,1,-501.11951219512224
42,171.90000000000018,113,1,-485.09523809523836
43,184.30000000000013,109,1,-469.5279069767445
44,222.70000000000002,73,1,-453.7954545454548
45,236.89999999999998,60,1,-438.4466666666669
46,183.20000000000016,101,1,-424.9326086956524
47,223.8,56,1,-411.12978723404274
48,137.5000000000001,95,1,-399.7000000000002
49,153.60000000000016,96,1,-388.40816326530637
50,189.89999999999998,46,1,-376.8420000000002
51,-340.90000000000066,199,1,-357.3620000000002
52,147.20000000000005,86,1,-359.7260000000003
53,198.20000000000007,88,1,-327.8700000000003
54,210.90000000000006,68,1,-298.6440000000003
55,165.70000000000016,85,1,-264.4180000000004
56,233.79999999999995,63,1,-223.82000000000053
57,209.10000000000002,53,1,-199.83600000000047
58,207.3,71,1,-182.99600000000038
59,-2221.1999999999884,500,0,-203.8660000000001
60,-798.1000000000013,323,1,-193.56200000000013
61,97.2000000000003,107,1,-165.1160000000002
62,243.59999999999997,54,1,-143.84200000000013
63,167.9000000000001,100,1,-134.3340000000001
64,87.20000000000033,133,1,-114.93199999999997
65,244.49999999999997,53,1,-104.91399999999989
66,-1754.799999999987,488,1,-126.09599999999955
67,-1874.3999999999905,500,0,-166.13599999999937
68,-312.00000000000136,220,1,-147.13399999999936
69,154.50000000000009,79,1,-143.17999999999935
70,60.80000000000027,99,1,-124.08399999999926
71,170.3000000000001,97,1,-114.56199999999923
72,208.80000000000007,86,1,-115.08199999999921
73,232.79999999999998,56,1,-104.94999999999915
74,3.2999999999999545,137,1,-107.71999999999915
75,156.1000000000001,94,1,-107.37999999999916
76,-2087.699999999988,500,0,-150.87799999999893
77,-1454.99999999999,499,1,-183.63199999999873
78,164.6,69,1,-177.27799999999868
79,250.09999999999997,48,1,-173.45199999999866
80,-1406.1999999999925,463,1,-203.50999999999854
81,118.60000000000016,111,1,-204.68199999999854
82,219.0,60,1,-204.86399999999855
83,-1891.5999999999913,500,0,-246.94999999999837
84,229.4,59,1,-204.73399999999853
85,45.200000000000415,156,1,-188.01199999999852
86,204.00000000000006,74,1,-183.74399999999852
87,199.50000000000003,78,1,-174.6159999999985
88,70.50000000000037,149,1,-154.18999999999858
89,-1338.1999999999978,500,0,-184.32199999999852
90,243.59999999999997,54,1,-178.26399999999848
91,-230.8000000000011,262,1,-181.2679999999985
92,253.39999999999998,45,1,-179.63799999999853
93,-1030.299999999998,365,1,-203.9299999999985
94,214.9,72,1,-204.0859999999985
95,-1623.8999999999944,500,0,-241.30199999999837
96,32.000000000000114,142,1,-244.32599999999837
97,-547.4000000000019,264,1,-259.7499999999984
98,-38.000000000000796,215,1,-263.2599999999984
99,225.39999999999998,71,1,-261.8239999999985
100,-1728.1999999999937,500,0,-300.18599999999833
