episode,reward,length,success,avg_last_50
1,68.80000000000052,158,1,68.80000000000052
2,-364.50000000000284,353,1,-147.85000000000116
3,-1147.3000000000009,500,0,-481.0000000000011
4,-1118.3000000000031,500,0,-640.3250000000016
5,-1279.9999999999973,500,0,-768.2600000000008
6,-1181.4999999999995,500,0,-837.1333333333338
7,-619.200000000003,389,1,-806.0000000000008
8,-1534.2999999999909,500,0,-897.0374999999997
9,-1273.6,500,0,-938.8777777777775
10,-1085.4000000000012,500,0,-953.53
11,-152.30000000000126,188,1,-880.6909090909091
12,-1343.6999999999948,500,0,-919.2749999999996
13,-1487.8999999999912,500,0,-963.0153846153836
14,-1073.3000000000036,500,0,-970.8928571428563
15,-540.5000000000036,435,1,-942.1999999999995
16,-451.6000000000031,359,1,-911.5374999999997
17,226.2,62,1,-844.611764705882
18,-903.9000000000017,471,1,-847.9055555555553
19,-1218.9999999999986,500,0,-867.4368421052629
20,179.6,72,1,-815.0849999999998
21,93.30000000000024,144,1,-771.8285714285712
22,228.5,68,1,-726.3590909090907
23,-1477.8999999999953,500,0,-759.0347826086952
24,-274.6000000000017,227,1,-738.8499999999998
25,240.19999999999996,49,1,-699.6879999999998
26,-1372.2999999999988,500,0,-725.557692307692
27,239.19999999999996,58,1,-689.8259259259256
28,253.39999999999998,45,1,-656.1392857142854
29,-425.40000000000396,334,1,-648.1827586206895
30,-680.1000000000029,330,1,-649.2466666666666
31,-196.60000000000167,221,1,-634.6451612903226
32,259.9,39,1,-606.690625
33,-846.7000000000016,451,1,-613.9636363636364
34,-96.40000000000077,146,1,-598.7411764705882
35,251.49999999999997,47,1,-574.4485714285714
36,-416.10000000000286,284,1,-570.0500000000001
37,123.60000000000025,107,1,-551.3027027027028
38,-127.0000000000008,232,1,-540.1368421052633
39,-21.700000000000045,143,1,-526.8435897435899
40,-585.900000000003,300,1,-528.3200000000003
41,-191.2000000000014,217,1,-520.09756097561
42,-633.0000000000045,452,1,-522.7857142857147
43,114.80000000000018,115,1,-507.9581395348841
44,-1283.6000000000004,500,0,-525.586363636364
45,-338.7000000000029,303,1,-521.4333333333338
46,113.50000000000011,100,1,-507.63043478260914
47,-319.10000000000184,210,1,-503.61914893617075
48,-839.9999999999991,426,1,-510.62708333333376
49,161.60000000000014,72,1,-496.90816326530654
50,126.00000000000014,88,1,-484.45000000000044
51,-94.20000000000141,184,1,-487.71000000000043
52,74.20000000000027,120,1,-478.9360000000004
53,130.30000000000024,101,1,-453.38400000000036
54,87.40000000000023,124,1,-429.2700000000002
55,164.1000000000001,86,1,-400.3880000000003
56,7.999999999999659,156,1,-376.5980000000004
57,125.40000000000012,97,1,-361.7060000000002
58,-248.30000000000234,294,1,-335.9860000000005
59,38.200000000000045,120,1,-309.7500000000005
60,-206.40000000000146,238,1,-292.1700000000005
61,106.60000000000022,131,1,-286.9920000000005
62,-42.10000000000031,153,1,-260.9600000000006
63,217.60000000000002,78,1,-226.85000000000076
