episode,reward,length,success,avg_last_50
1,-1010.6000000000062,500,0,-1010.6000000000062
2,-1244.8999999999937,500,0,-1127.75
3,-967.5000000000048,500,0,-1074.3333333333348
4,-904.7000000000063,500,0,-1031.9250000000027
5,-851.6000000000053,500,0,-995.8600000000031
6,-1004.0000000000058,500,0,-997.2166666666702
7,-844.3000000000062,500,0,-975.3714285714325
8,-752.2000000000046,500,0,-947.4750000000042
9,-961.8000000000051,500,0,-949.0666666666709
10,-862.8000000000043,500,0,-940.4400000000044
11,-676.500000000005,500,0,-916.445454545459
12,-722.0000000000045,500,0,-900.241666666671
13,-811.5000000000055,500,0,-893.415384615389
14,-615.3000000000043,500,0,-873.5500000000045
15,-803.2000000000043,500,0,-868.8600000000044
16,-784.8000000000059,500,0,-863.6062500000045
17,-813.1000000000055,500,0,-860.6352941176516
18,-864.8000000000054,500,0,-860.8666666666712
19,-732.6000000000053,500,0,-854.1157894736889
20,-388.40000000000373,446,1,-830.8300000000047
21,-643.1000000000049,500,0,-821.8904761904809
22,-695.9000000000045,500,0,-816.1636363636411
23,-937.700000000006,500,0,-821.4478260869612
24,-723.8000000000048,500,0,-817.3791666666713
25,-79.40000000000117,268,1,-787.8600000000046
26,-662.7000000000048,500,0,-783.0461538461584
27,-823.3000000000055,500,0,-784.5370370370416
28,-839.2000000000057,500,0,-786.4892857142903
29,-663.1000000000056,500,0,-782.2344827586253
30,-689.0000000000057,500,0,-779.1266666666713
31,-601.2000000000048,500,0,-773.3870967741982
32,-565.6000000000049,500,0,-766.8937500000047
33,-628.0000000000049,500,0,-762.6848484848532
34,-628.0000000000058,500,0,-758.7235294117695
35,-645.4000000000054,500,0,-755.485714285719
36,-876.8000000000065,500,0,-758.8555555555604
37,-663.1000000000057,500,0,-756.2675675675724
38,-921.400000000006,500,0,-760.6131578947417
39,-681.5000000000059,500,0,-758.5846153846203
40,-149.0000000000024,330,1,-743.3450000000048
41,-654.6000000000057,500,0,-741.1804878048829
42,-807.2000000000056,500,0,-742.7523809523858
43,-709.000000000006,500,0,-741.96744186047
44,-725.8000000000067,500,0,-741.6000000000049
45,-601.4000000000053,500,0,-738.4844444444493
46,-646.5000000000048,500,0,-736.4847826087006
47,-610.1000000000055,500,0,-733.795744680856
48,-673.7000000000057,500,0,-732.5437500000049
49,-681.8000000000055,500,0,-731.508163265311
50,-584.1000000000049,500,0,-728.560000000005
51,-628.6000000000055,500,0,-720.920000000005
52,-601.8000000000053,500,0,-708.0580000000051
53,-699.8000000000047,500,0,-702.7040000000052
54,-664.5000000000059,500,0,-697.9000000000052
55,-637.3000000000058,500,0,-693.6140000000051
56,-557.800000000005,500,0,-684.690000000005
57,-655.6000000000053,500,0,-680.9160000000052
58,-170.80000000000234,366,1,-669.2880000000052
59,-259.20000000000414,422,1,-655.2360000000051
60,-663.3000000000053,500,0,-651.2460000000052
61,-583.6000000000051,500,0,-649.3880000000051
62,-261.60000000000446,489,1,-640.1800000000051
63,-548.700000000005,500,0,-634.9240000000052
64,-575.1000000000055,500,0,-634.1200000000051
65,-620.0000000000048,500,0,-630.4560000000051
66,-557.700000000005,500,0,-625.914000000005
67,-584.300000000005,500,0,-621.3380000000051
68,-754.0000000000057,500,0,-619.1220000000052
69,-619.5000000000051,500,0,-616.8600000000051
70,-717.4000000000055,500,0,-623.440000000005
