episode,reward,length,success,avg_last_50
1,-1368.2999999999927,500,0,-1368.2999999999927
2,-1262.3000000000002,500,0,-1315.2999999999965
3,-1281.0999999999983,500,0,-1303.8999999999971
4,-101.10000000000036,200,1,-1003.199999999998
5,-388.5000000000041,419,1,-880.2599999999991
6,-1261.699999999998,500,0,-943.8333333333322
7,-1470.4999999999943,500,0,-1019.0714285714268
8,-1234.299999999998,500,0,-1045.9749999999983
9,-580.6000000000038,363,1,-994.2666666666656
10,-813.5000000000053,500,0,-976.1899999999996
11,-1065.4000000000028,500,0,-984.3
12,-1334.699999999998,500,0,-1013.4999999999997
13,126.20000000000016,114,1,-925.8307692307689
14,255.6,43,1,-841.4428571428568
15,106.60000000000039,157,1,-778.2399999999997
16,-14.399999999999977,178,1,-730.4999999999998
17,-88.50000000000097,205,1,-692.735294117647
18,193.20000000000005,84,1,-643.5166666666665
19,67.40000000000015,110,1,-606.0999999999999
20,-484.90000000000384,467,1,-600.0400000000001
21,244.49999999999997,53,1,-559.8238095238096
22,-293.10000000000184,269,1,-547.7000000000002
23,-67.70000000000107,269,1,-526.8304347826089
24,161.80000000000013,72,1,-498.1375000000001
25,-348.8000000000029,314,1,-492.1640000000002
26,252.2,46,1,-463.53461538461556
27,-3.0,192,1,-446.477777777778
28,186.80000000000013,98,1,-423.8607142857145
29,-554.300000000006,489,1,-428.3586206896556
30,-1127.000000000004,500,0,-451.6466666666672
31,163.40000000000018,95,1,-431.80645161290374
32,-49.50000000000051,277,1,-419.85937500000045
33,49.00000000000031,144,1,-405.6515151515156
34,214.80000000000007,81,1,-387.402941176471
35,-56.60000000000031,142,1,-377.951428571429
36,106.80000000000004,73,1,-364.48611111111154
37,171.90000000000023,95,1,-349.98918918918963
38,74.0000000000004,145,1,-338.8315789473689
39,97.00000000000014,107,1,-327.6564102564107
40,-849.0,370,1,-340.69000000000034
41,264.3,35,1,-325.93414634146376
42,69.80000000000061,206,1,-316.51190476190504
43,142.90000000000015,98,1,-305.8279069767445
44,-194.5000000000013,338,1,-303.2977272727276
45,-7.400000000000375,204,1,-296.72222222222257
46,-61.20000000000027,154,1,-291.6021739130438
47,264.4,35,1,-279.77234042553226
48,242.49999999999997,55,1,-268.89166666666694
49,163.40000000000012,95,1,-260.06938775510235
50,-27.500000000000398,164,1,-255.4180000000003
